Country	Bank	Item	Year	Value  Flags
"Austria"	"All banks"	"1. Interest income"	"1999"	22332.943  
"Austria"	"All banks"	"1. Interest income"	"2000"	27412.702  
"Austria"	"All banks"	"1. Interest income"	"2001"	26866.856  
"Austria"	"All banks"	"1. Interest income"	"2002"	23521.58  
"Austria"	"All banks"	"1. Interest income"	"2003"	20846  
"Austria"	"All banks"	"1. Interest income"	"2004"	21219  
"Austria"	"All banks"	"1. Interest income"	"2005"	23556  
"Austria"	"All banks"	"1. Interest income"	"2006"	28802  
"Austria"	"All banks"	"1. Interest income"	"2007"	37291  
"Austria"	"All banks"	"1. Interest income"	"2008"	45735  
"Belgium"	"All banks"	"1. Interest income"	"1999"	52169.315  
"Belgium"	"All banks"	"1. Interest income"	"2000"	68628.477  
"Belgium"	"All banks"	"1. Interest income"	"2001"	61352.495  
"Belgium"	"All banks"	"1. Interest income"	"2002"	59712.614  
"Belgium"	"All banks"	"1. Interest income"	"2003"	49250.504  
"Belgium"	"All banks"	"1. Interest income"	"2004"	58051.179  
"Belgium"	"All banks"	"1. Interest income"	"2005"	53596.202  
"Belgium"	"All banks"	"1. Interest income"	"2006"	53925.872  
"Belgium"	"All banks"	"1. Interest income"	"2007"	69845.652  
"Belgium"	"All banks"	"1. Interest income"	"2008"	75503.051  
"Belgium"	"All banks"	"1. Interest income"	"2009"	40528.807  
"Canada"	"All banks"	"1. Interest income"	"1999"	88904  
"Canada"	"All banks"	"1. Interest income"	"2000"	96254  
"Canada"	"All banks"	"1. Interest income"	"2001"	96765  
"Canada"	"All banks"	"1. Interest income"	"2002"	78095  
"Canada"	"All banks"	"1. Interest income"	"2003"	76359  
"Canada"	"All banks"	"1. Interest income"	"2004"	73850  
"Canada"	"All banks"	"1. Interest income"	"2005"	84542  
"Canada"	"All banks"	"1. Interest income"	"2006"	105184  
"Canada"	"All banks"	"1. Interest income"	"2007"	124648  
"Canada"	"All banks"	"1. Interest income"	"2008"	124454  
"Canada"	"All banks"	"1. Interest income"	"2009"	102263  
"Czech Republic"	"All banks"	"1. Interest income"	"1999"	159957.09  
"Czech Republic"	"All banks"	"1. Interest income"	"2000"	127066.58  
"Czech Republic"	"All banks"	"1. Interest income"	"2001"	114017.93  
"Czech Republic"	"All banks"	"1. Interest income"	"2002"	122762.685  
"Czech Republic"	"All banks"	"1. Interest income"	"2003"	99602.837  
"Czech Republic"	"All banks"	"1. Interest income"	"2004"	103104.584  
"Czech Republic"	"All banks"	"1. Interest income"	"2005"	107143.629  
"Czech Republic"	"All banks"	"1. Interest income"	"2006"	124114.384  
"Czech Republic"	"All banks"	"1. Interest income"	"2007"	156436.218  
"Czech Republic"	"All banks"	"1. Interest income"	"2008"	191917.03  
"Czech Republic"	"All banks"	"1. Interest income"	"2009"	174605.596  
"Denmark"	"All banks"	"1. Interest income"	"1999"	74149  
"Denmark"	"All banks"	"1. Interest income"	"2000"	93353  
"Denmark"	"All banks"	"1. Interest income"	"2001"	98469  
"Denmark"	"All banks"	"1. Interest income"	"2002"	84614.286  
"Denmark"	"All banks"	"1. Interest income"	"2003"	76680.382  
"Denmark"	"All banks"	"1. Interest income"	"2004"	77583.523  
"Denmark"	"All banks"	"1. Interest income"	"2005"	96702.835  
"Denmark"	"All banks"	"1. Interest income"	"2006"	121999.045  
"Denmark"	"All banks"	"1. Interest income"	"2007"	170074.078  
"Denmark"	"All banks"	"1. Interest income"	"2008"	204303.82  
