Country	Bank	Index	Year	Value
Austria	All_banks	Interest_income	1999	22332.943
Austria	All_banks	Interest_income	2000	27412.702
Austria	All_banks	Interest_income	2001	26866.856
Austria	All_banks	Interest_income	2002	23521.58
Austria	All_banks	Interest_income	2003	20846
Austria	All_banks	Interest_income	2004	21219
Austria	All_banks	Interest_income	2005	23556
Austria	All_banks	Interest_income	2006	28802
Austria	All_banks	Interest_income	2007	37291
Austria	All_banks	Interest_income	2008	45735
Belgium	All_banks	Interest_income	1999	52169.315
Belgium	All_banks	Interest_income	2000	68628.477
Belgium	All_banks	Interest_income	2001	61352.495
Belgium	All_banks	Interest_income	2002	59712.614
Belgium	All_banks	Interest_income	2003	49250.504
Belgium	All_banks	Interest_income	2004	58051.179
Belgium	All_banks	Interest_income	2005	53596.202
Belgium	All_banks	Interest_income	2006	53925.872
Belgium	All_banks	Interest_income	2007	69845.652
Belgium	All_banks	Interest_income	2008	75503.051
Belgium	All_banks	Interest_income	2009	40528.807
Canada	All_banks	Interest_income	1999	88904
Canada	All_banks	Interest_income	2000	96254
Canada	All_banks	Interest_income	2001	96765
Canada	All_banks	Interest_income	2002	78095
Canada	All_banks	Interest_income	2003	76359
Canada	All_banks	Interest_income	2004	73850
Canada	All_banks	Interest_income	2005	84542
Canada	All_banks	Interest_income	2006	105184
Canada	All_banks	Interest_income	2007	124648
Canada	All_banks	Interest_income	2008	124454
Canada	All_banks	Interest_income	2009	102263
Czech	All_banks	Interest_income	1999	159957.09
Czech	All_banks	Interest_income	2000	127066.58
Czech	All_banks	Interest_income	2001	114017.93
Czech	All_banks	Interest_income	2002	122762.685
Czech	All_banks	Interest_income	2003	99602.837
Czech	All_banks	Interest_income	2004	103104.584
Czech	All_banks	Interest_income	2005	107143.629
Czech	All_banks	Interest_income	2006	124114.384
Czech	All_banks	Interest_income	2007	156436.218
Czech	All_banks	Interest_income	2008	191917.03
Czech	All_banks	Interest_income	2009	174605.596
Denmark	All_banks	Interest_income	1999	74149
Denmark	All_banks	Interest_income	2000	93353
Denmark	All_banks	Interest_income	2001	98469
Denmark	All_banks	Interest_income	2002	84614.286
Denmark	All_banks	Interest_income	2003	76680.382
Denmark	All_banks	Interest_income	2004	77583.523
Denmark	All_banks	Interest_income	2005	96702.835
Denmark	All_banks	Interest_income	2006	121999.045
Denmark	All_banks	Interest_income	2007	170074.078
Denmark	All_banks	Interest_income	2008	204303.82
Denmark	All_banks	Interest_income	2009	145487.936
Finland	All_banks	Interest_income	1999	5280.19
Finland	All_banks	Interest_income	2000	6466.199
Finland	All_banks	Interest_income	2001	7196.204
Finland	All_banks	Interest_income	2002	5924.178
Finland	All_banks	Interest_income	2003	4974.45
Finland	All_banks	Interest_income	2004	5081.886
Finland	All_banks	Interest_income	2005	6335.291
Finland	All_banks	Interest_income	2006	8611.672
Finland	All_banks	Interest_income	2007	11655.541
Finland	All_banks	Interest_income	2008	14543.319
Finland	All_banks	Interest_income	2009	8243.279
France	All_banks	Interest_income	1999	186953.26
France	All_banks	Interest_income	2000	214092.69
France	All_banks	Interest_income	2001	217574
France	All_banks	Interest_income	2002	197574
France	All_banks	Interest_income	2003	173607
France	All_banks	Interest_income	2004	137585.329
France	All_banks	Interest_income	2005	158715.81
France	All_banks	Interest_income	2006	205176.033
France	All_banks	Interest_income	2007	270374.981
France	All_banks	Interest_income	2008	293674.051
France	All_banks	Interest_income	2009	203055.585
Germany	All_banks	Interest_income	1999	250171
Germany	All_banks	Interest_income	2000	295127
Germany	All_banks	Interest_income	2001	304001
Germany	All_banks	Interest_income	2002	270067
Germany	All_banks	Interest_income	2003	241314
Germany	All_banks	Interest_income	2004	233579
Germany	All_banks	Interest_income	2005	256932
Germany	All_banks	Interest_income	2006	279105
Germany	All_banks	Interest_income	2007	321070
Germany	All_banks	Interest_income	2008	327959
Germany	All_banks	Interest_income	2009	232155
Ireland	All_banks	Interest_income	1999	15760.5
Ireland	All_banks	Interest_income	2000	22059.8
Ireland	All_banks	Interest_income	2001	23944.6
Ireland	All_banks	Interest_income	2002	24450
Ireland	All_banks	Interest_income	2003	22831
Ireland	All_banks	Interest_income	2004	26441
Ireland	All_banks	Interest_income	2005	33097.812
Ireland	All_banks	Interest_income	2006	43912.314
Ireland	All_banks	Interest_income	2007	56061.147
Ireland	All_banks	Interest_income	2008	58665.975
Ireland	All_banks	Interest_income	2009	34454.159
Italy	All_banks	Interest_income	1999	73391
Italy	All_banks	Interest_income	2000	89177
Italy	All_banks	Interest_income	2001	100291
Italy	All_banks	Interest_income	2002	90153
Italy	All_banks	Interest_income	2003	83680
