Country	Bank	Year	Interest_income	Interest_expenses	Net_non_interest_income	Operating_expenses	Net_provisions	Income_tax	Distributed_profit	Retained_profit	Cash_and_balance_with_Central_bank	Interbank_deposits_asset	Loans	Securities	Other_assets	Capital_and_reserves	Borrowing_from_Central_bank	Interbank_deposits_liab	Customer_deposits	Bonds	Other_liabilities	Number_of_institutions	Number_of_branches	Number_of_employees
Canada	Commercial_banks	1999	76301	51788	26931	33518	3177	4542	3470	6736	5599	87982	806929	290015	176682	69804	302	151256	772629	25458	347758	53	NA	NA
Canada	Commercial_banks	2000	85474	59487	33016	38757	4310	5003	3483	7450	5170	78302	874450	334953	211188	79105	298	139028	891730	28833	365069	53	NA	NA
Canada	Commercial_banks	2001	86333	56558	33851	42364	6436	3348	4296	7182	6366	78041	927022	376448	259709	87090	126	143936	948067	28652	439715	45	NA	NA
Canada	Commercial_banks	2002	68692	35553	30884	43299	9432	2325	4359	4610	5374	83387	929671	380198	263046	89144	574	123958	995063	25586	427351	44	NA	NA
Canada	Commercial_banks	2003	66578	33460	31789	43090	4123	4297	5570	7825	5291	84908	918859	432109	251765	92306	710	128601	1001131	24307	445877	42	NA	NA
Canada	Commercial_banks	2004	64220	30789	33786	44224	1536	5489	5828	10140	4692	74137	970266	454888	276371	96407	2	123209	1060144	25500	475092	41	NA	NA
Canada	Commercial_banks	2005	74207	41214	37321	49072	2160	5369	6738	6975	5199	90752	1074978	526730	281432	103786	47	143046	1178477	28046	525689	43	NA	NA
Canada	Commercial_banks	2006	92969	59806	41927	46485	2406	5466	7712	13022	5677	95678	1197294	620429	290629	116320	27	160537	1301011	27873	603939	45	NA	NA
Canada	Commercial_banks	2007	110557	74941	42650	49054	3444	4746	9034	11988	6063	107972	1309080	640882	375437	126815	27	159194	1437680	30406	685312	45	NA	NA
Canada	Commercial_banks	2008	109857	67913	29676	50202	6818	1078	10360	3162	7817	118941	1507927	660165	599549	151864	111	145722	1727770	40770	828162	45	NA	NA
Canada	Commercial_banks	2009	89277	40549	41127	56541	13151	4352	11494	4320	18979	103423	1482755	726958	440323	169841	3	110374	1720804	38735	732681	49	NA	NA
Denmark	Commercial_banks	2004	70228.04	40339.487	27416.685	28051.486	1956.775	7268.256	10159.832	9868.889	140663.147	350383.939	975808.685	671372.768	227445.353	124166.283	160736.008	519106.639	932958.91	236066.749	392639.303	51	1480	34155
Denmark	Commercial_banks	2005	88787.582	56997.117	29083.398	28781.208	744.971	7292.69	NA	NA	194672.274	440380.132	1227355.93	571595.674	380695.937	147825.677	210621	557108	1062954.018	317982.966	518208.286	52	1424	35170
Denmark	Commercial_banks	2006	112239.798	81717.453	38884.581	31496.382	609.314	8010.443	NA	NA	142285.955	464664.053	1541645.217	761281.858	237408.855	186268.831	283469	702332	1158216.015	376209.457	440790.635	53	1421	34363
Denmark	Commercial_banks	2007	156582.915	120540.375	38771.13	36538.777	2524.272	6339.491	NA	NA	196264.285	528827.778	1960278.498	877279.52	366289.83	211038.29	351786	855504	1467149.812	442078.555	601383.254	55	1366	37347
Denmark	Commercial_banks	2008	187682.661	142309.856	23405.861	41253.711	30914.677	79.073	NA	NA	121659.229	436748.814	2086511.24	978408.183	826514.394	202928.725	498056.648	622912.38	1514734.731	574643.333	1036566.043	55	1304	40015
Denmark	Commercial_banks	2009	131398.156	70219.55	30765.941	47196.584	55978.645	485.251	NA	NA	156582.054	431307.371	1818109.614	1106501.867	546452.095	213286.66	185632.977	634323.752	1485345.48	663938.923	876425.228	53	1213	38394
Finland	Commercial_banks	1999	3295.34	2043.945	660.035	1259.314	-13.04	94.464	125.697	444.995	4884.439	21770.199	39828.216	16350.53	5102.917	4526.543	1063.951	13899.808	35692.058	5155.447	27598.493	9	489	15144
Finland	Commercial_banks	2000	4419.356	2900.919	1079.273	1311.184	36.973	335.382	469.956	444.215	2112.818	27157.523	48496.456	16722.851	5258.45	5072.16	454.527	18360.471	36739.83	9709.133	29411.975	9	495	15423
Finland	Commercial_banks	2001	4952.66	3488.287	3795.046	1423.632	13.064	12.776	1176.528	2633.419	3405.82	37177.58	45269.211	23256.944	6101.74	12593.647	1193.695	22595.958	39358.421	7693.424	31776.149	9	515	15646
Finland	Commercial_banks	2002	3772.487	2529.598	1229.662	1408.317	31.862	205.669	1173.823	-347.119	3538.245	32735.681	47665.283	21990.315	5558.209	11987.942	849.002	17470.494	39476.259	6900.632	34803.403	11	513	15341
Finland	Commercial_banks	2003	3097.517	1771.574	2654.422	1696.989	70.665	-211.923	200.713	2223.921	2049.035	41730.249	52376.584	11289.036	21910.826	13160.382	1848.773	16923.734	41916.741	6826.895	48679.206	11	503	14415
Finland	Commercial_banks	2004	3382.758	1863.313	1075.167	1405.67	55.561	48.49	200.423	884.468	3005.895	45138.952	59824.416	11211.528	31446.963	13550.132	2347.812	21543.084	43536.955	9388.854	60260.918	11	476	14017
Finland	Commercial_banks	2005	4515.667	2785.523	942.59	1209.365	-8.884	-171.369	311.616	1332.005	3587.157	50390.406	69279.605	13510.632	33531.223	15388.015	3261.909	23659.161	48296.299	13612.389	66081.251	12	511	14111
Finland	Commercial_banks	2006	6378.631	4337.735	1342.195	1315.933	87.016	406.033	4260.842	-2686.733	3688.715	59417.939	77666.93	14509.092	29082.214	16836.748	1960.965	31821.267	50349.656	20019.793	63376.461	13	507	14444
Finland	Commercial_banks	2007	8504.711	6331.102	2074.079	1500.343	95.602	471.608	1043.471	1136.663	5826.366	58426.524	89490.666	17065.529	36986.211	14946.997	923.25	30722.67	60057.735	19970.214	81174.429	14	487	15113
Finland	Commercial_banks	2008	10731.304	7832.566	578.164	1590.326	89.426	406.251	1387.702	3.198	6567.44	63529.995	104862.608	19801.877	102261.047	15758.61	5198.747	42742.843	71293.224	19290.39	142739.153	15	565	16295
Finland	Commercial_banks	2009	5837.372	3395.19	917.191	1695.957	87.44	397.578	765.489	412.91	11888.051	75822.254	100582.849	25308.328	83708.738	16141.238	3856.793	52127.561	71030.501	18041.744	136112.383	15	539	15561
France	Commercial_banks	1999	101202.21	89285.88	24173.54	25495.73	1855.46	1557.57	3992.33	3188.93	21496.53	647507.38	592492.95	495927.17	259810.63	86601.41	1033.15	770668.05	457137.28	345564.57	356230.06	362	9794	202000
France	Commercial_banks	2000	129508.18	117286.65	29660.48	28187.21	2716.79	1200.84	5050.33	4726.99	20172	592733	699774	489336	290628	81283	3741	735356	487568	420411	364284	360	9964	204990
France	Commercial_banks	2001	131758	119508	31429	28348	3787	1350	5571	4624	27311	637429	759514	529763	340363	86774	2167	744985	588512	456653	415290	296	9951	207710
France	Commercial_banks	2002	112147	97577	27395	28382	3714	643	5665	3561	32339	675426	741480	546288	238400	91513	1498	773741	584422	443178	339582	284	10161	212432
France	Commercial_banks	2003	90115	75090	28270	29108	4170	1228	6673	2118	31251	703045	749399	609503	244745	95859	2146	784658	611661	471320	372299	273	10258	211953
France	Commercial_banks	2004	94199.508	80872.526	31400.62	29395.095	1161.721	1919.492	8557.219	3694.075	33523.306	782476.284	830219.482	748968.247	328141.246	95327.806	2327.765	906767.993	672867.452	536598.502	509439.045	235	11025	207354
France	Commercial_banks	2005	115194.068	100461.809	33119.576	32431.449	213.085	1123.891	10290.348	3793.062	19911.132	990173.888	1016058.782	1004797.348	533392.838	97835.523	3004.686	1137928.87	871835.495	615380.76	838348.635	227	11043	214719
France	Commercial_banks	2006	153914.613	142215.173	51394.439	39490.35	840.913	2709.84	14039.965	6012.811	21394.303	1165813.29	1140659.675	1165080.718	643070.808	127266.17	3867.872	1371216.36	932322.842	737030.949	964314.613	223	23777	238652
France	Commercial_banks	2007	209121.173	200295.385	42477.164	41301.605	2646.848	-852.216	8593.77	-387.055	42995.723	1334127.214	1373034.509	1342187.718	858505.973	131579.946	4631.229	1650768.655	1097604.853	910922.889	1155343.566	219	23344	257186
France	Commercial_banks	2008	223169.834	204262.638	18425.579	42150.706	8998.234	-3016.322	4587.783	-15387.626	90662.569	1326289.007	1427938.689	1228011.751	1261565.775	146775.254	5084.916	1706095.317	1229971.764	832590.916	1413949.624	214	22981	258004
France	Commercial_banks	2009	143378.532	116318.039	39604.13	42496.582	11831.137	1612.082	5937.367	4787.455	74098.141	1261810.97	1389852.471	1164929.173	1167035.019	154747.22	18670.289	1398205.21	1314933.863	794224.27	1376944.908	205	22425	254045
Germany	Commercial_banks	1999	88921	63298	14410	30606	2665	1855	3713	1194	29238.23	358113.95	905843.04	393499.95	114974.21	82274.02	19815.12	498695.18	771262.84	290748.17	138874.03	203	6795	221650
Germany	Commercial_banks	2000	115872	90321	20906	36466	3689	682	4481	1139	30166	420783	1077198	483121	136189	94320	34802	598420	911251	341201	167463	204	6440	223500
Germany	Commercial_banks	2001	119427	92359	18914	38753	3069	402	1721	2037	27220	515849	1138913	524012	131563	99306	54215	677928	970003	377522	158583	199	5563	220700
Germany	Commercial_banks	2002	100568	69893	11801	35722	5896	831	796	-769	28901	466387	1069617	525050	107632	102211	72705	646821	921356	284747	169747	190	5105	209850
Germany	Commercial_banks	2003	85126	58957	12316	34271	10028	264	-415	-5663	27993	473359	1055772	504932	90170	96411	93638	640838	924167	250907	146265	177	5082	192900
Germany	Commercial_banks	2004	84372	55065	8683	33207	5204	799	-605	-615	22718	551580	1125941	603636	104650	88454	96219	741049	1059538	264582	158683	168	14667	192550
